class   coords1   coords2   coords3   coords4   confidence_value   objectID

0 0.185315 0.708304 0.368265 0.581437 0.955273 1
0 0.441876 0.891691 0.164741 0.215311 0.874761 2

0 0.185329 0.708572 0.367952 0.580919 0.953827 1
0 0.441322 0.891467 0.165112 0.215793 0.877395 2

0 0.1843 0.708734 0.367656 0.580532 0.953371 1
0 0.444384 0.893551 0.16304 0.21147 0.878468 2

0 0.455369 0.677885 0.434569 0.636277 0.88942 12
0 0.77054 0.6936 0.230539 0.6128 0.83524 8
56 0.53571 0.878804 0.357299 0.24124 0.76681 11
56 0.195829 0.820254 0.165791 0.348324 0.762241 13

0 0.455357 0.678658 0.434503 0.636809 0.894916 12
0 0.773555 0.694162 0.231183 0.611675 0.841986 8
56 0.536091 0.87901 0.356417 0.240822 0.737254 11
56 0.195819 0.820488 0.165778 0.348675 0.796046 13

0 0.455336 0.677857 0.434087 0.6366 0.888257 12
0 0.776103 0.693933 0.232762 0.612135 0.833479 8
56 0.536502 0.878767 0.356976 0.241286 0.771429 11
56 0.194152 0.820943 0.166084 0.348492 0.654761 13

0 0.455856 0.677948 0.433701 0.636582 0.89211 12
0 0.775872 0.693821 0.233993 0.612358 0.861051 8
56 0.536556 0.878519 0.357411 0.241769 0.784218 11
56 0.194169 0.820536 0.165785 0.347722 0.759466 13

0 0.456104 0.678131 0.433156 0.636217 0.884351 12
0 0.774594 0.694091 0.234066 0.611819 0.821943 8
56 0.536551 0.878774 0.356504 0.24127 0.787684 11
56 0.193403 0.820771 0.166561 0.348899 0.778699 13

0 0.455877 0.678265 0.432954 0.636258 0.872086 12
0 0.774094 0.695001 0.233401 0.609998 0.811458 8
56 0.535935 0.87912 0.355398 0.240578 0.750165 11
56 0.194225 0.821225 0.166225 0.34852 0.696469 13

0 0.455826 0.677567 0.432186 0.63532 0.878983 12
0 0.776143 0.695022 0.233914 0.609956 0.82742 8
56 0.536423 0.879341 0.35473 0.240146 0.78868 11
56 0.194259 0.821136 0.166076 0.348008 0.730609 13

0 0.456001 0.677596 0.432519 0.636271 0.891319 12
0 0.77648 0.69447 0.235009 0.611061 0.830801 8
56 0.536341 0.879239 0.35485 0.240354 0.78072 11
56 0.19508 0.821046 0.165952 0.347906 0.738613 13

0 0.455842 0.677697 0.431964 0.635486 0.877535 12
0 0.775992 0.694859 0.235296 0.610282 0.835748 8
56 0.536639 0.879316 0.354478 0.240175 0.756064 11
56 0.195405 0.821416 0.16543 0.346864 0.713879 13

0 0.455411 0.677985 0.43326 0.63756 0.889951 12
0 0.775814 0.694513 0.236333 0.610973 0.840809 8
56 0.536811 0.878802 0.355882 0.241215 0.742442 11
56 0.194873 0.821534 0.165846 0.347645 0.77003 13

0 0.18431 0.709165 0.367065 0.579662 0.952065 1
0 0.444806 0.894304 0.162657 0.209978 0.865484 2

0 0.45543 0.678456 0.432479 0.636639 0.889357 12
0 0.775773 0.695747 0.236338 0.608505 0.849449 8
56 0.53654 0.879181 0.354654 0.240481 0.779628 11
56 0.19386 0.821963 0.16622 0.348368 0.675652 13

0 0.455911 0.677791 0.432762 0.63761 0.890728 12
0 0.775294 0.695507 0.236878 0.608985 0.844137 8
56 0.546232 0.879313 0.357145 0.240187 0.778584 11
56 0.192188 0.821469 0.166612 0.348309 0.727291 13

0 0.455758 0.678449 0.43194 0.636435 0.894586 12
0 0.778253 0.696237 0.236746 0.607526 0.843128 8
56 0.54467 0.879739 0.357114 0.239351 0.719115 11
56 0.194099 0.821132 0.166499 0.348495 0.796238 13

0 0.45549 0.677724 0.431595 0.636262 0.882073 12
0 0.777472 0.695446 0.237188 0.609108 0.85423 8
56 0.54212 0.879218 0.358988 0.240375 0.747484 11
56 0.194306 0.821102 0.166503 0.348458 0.625458 13

0 0.455165 0.678091 0.431332 0.636303 0.891498 12
0 0.777573 0.69483 0.237371 0.61034 0.824923 8
56 0.538968 0.879011 0.359382 0.240967 0.690139 11
56 0.194778 0.821019 0.166932 0.349493 0.719225 13

0 0.454997 0.677573 0.430345 0.63515 0.881886 12
0 0.779212 0.694614 0.237603 0.610773 0.838882 8
56 0.540667 0.879469 0.358653 0.239967 0.729593 11
56 0.195124 0.819261 0.16611 0.347667 0.793116 13

0 0.454663 0.677075 0.429737 0.634742 0.878203 12
0 0.777457 0.693537 0.237738 0.612637 0.840883 8
56 0.539973 0.879651 0.358452 0.239569 0.753702 11
56 0.195117 0.819637 0.16664 0.348519 0.759449 13

0 0.454324 0.677734 0.42909 0.634548 0.885535 12
0 0.780116 0.693245 0.23843 0.613421 0.847268 8
56 0.542081 0.879545 0.359634 0.239754 0.725909 11
56 0.194206 0.820169 0.166468 0.347432 0.698777 13

0 0.453471 0.677342 0.428881 0.634597 0.883522 12
0 0.778847 0.693273 0.238071 0.613439 0.842232 8
56 0.541217 0.879544 0.359874 0.239762 0.70579 11
56 0.194418 0.820246 0.167843 0.350491 0.774853 13

0 0.454918 0.676957 0.428951 0.63568 0.885099 12
0 0.780363 0.692949 0.238921 0.614102 0.846728 8
56 0.546519 0.879019 0.362751 0.240793 0.717051 11
56 0.195645 0.818961 0.16616 0.345895 0.576843 13

0 0.183981 0.708584 0.367574 0.580802 0.949174 1
0 0.445117 0.894166 0.163711 0.210279 0.876561 2

0 0.458095 0.676903 0.427723 0.635707 0.88842 12
0 0.780915 0.693994 0.238914 0.612013 0.86117 8
56 0.544129 0.879563 0.360574 0.239675 0.706654 11
56 0.197812 0.821406 0.167915 0.347393 0.676992 13

0 0.464476 0.67717 0.422461 0.631149 0.894376 12
0 0.780643 0.695341 0.238466 0.609318 0.875861 8
56 0.54717 0.880265 0.359017 0.238288 0.686502 11
56 0.203923 0.820598 0.16592 0.342198 0.808301 13

0 0.469309 0.67601 0.418622 0.629255 0.88492 12
0 0.777521 0.693892 0.240623 0.612217 0.867131 8
56 0.54972 0.879281 0.361481 0.240328 0.743736 11
56 0.209923 0.807883 0.157703 0.321413 0.842801 13

0 0.478235 0.676096 0.416048 0.630056 0.803604 12
0 0.781041 0.693777 0.241814 0.612446 0.857294 8
56 0.555864 0.878969 0.361715 0.240999 0.669828 11
56 0.221366 0.799336 0.151207 0.304193 0.811064 13

0 0.495957 0.678008 0.414215 0.633446 0.67029 12
0 0.797237 0.693604 0.241935 0.611386 0.848244 8
56 0.572254 0.879336 0.360516 0.240264 0.667345 11
56 0.242295 0.763175 0.120909 0.228121 0.616187 13

0 0.518534 0.680916 0.408757 0.629424 0.721303 12
0 0.82576 0.693277 0.243733 0.612405 0.841748 8
56 0.597538 0.880035 0.358787 0.238999 0.558181 11
56 0.272264 0.748427 0.110961 0.19794 0.524404 13

0 0.544081 0.681364 0.406723 0.631711 0.655758 12
0 0.85058 0.693969 0.246204 0.61081 0.875341 8
56 0.62295 0.881114 0.355973 0.236835 0.74321 11
56 0.30179 0.746682 0.114189 0.19481 0.562696 13

0 0.608178 0.603094 0.315345 0.484073 0.751782 12
0 0.879932 0.687062 0.240135 0.601867 0.591908 8
56 0.666638 0.880729 0.358175 0.23792 0.651735 11
56 0.34903 0.741794 0.11601 0.188173 0.610316 13

0 0.666428 0.574334 0.277186 0.42043 0.78688 12
0 0.901723 0.643736 0.196554 0.51835 0.778766 8
56 0.713431 0.882573 0.354554 0.234059 0.654783 11
56 0.39743 0.741915 0.119559 0.185888 0.525734 13
56 0.744619 0.732499 0.165779 0.0778852 0.624504 15

0 0.679354 0.65015 0.371974 0.572753 0.824573 12
0 0.915227 0.637824 0.169547 0.506708 0.741815 8
56 0.744919 0.884364 0.351068 0.230403 0.743314 11
56 0.429412 0.775584 0.16374 0.256783 0.654384 13
56 0.772029 0.735966 0.169029 0.0793313 0.66485 15
0 0.115099 0.684101 0.230197 0.628033 0.663374 16
56 0.802789 0.736086 0.118069 0.0824203 0.677731 17

0 0.183806 0.707801 0.367611 0.582375 0.948253 1
0 0.443973 0.894118 0.164386 0.210356 0.871378 2

0 0.704926 0.66723 0.397331 0.619542 0.725172 12
0 0.928213 0.629574 0.143573 0.501117 0.487387 8
56 0.780865 0.882243 0.359187 0.234512 0.760561 11
56 0.459458 0.781957 0.172673 0.271749 0.812961 13
56 0.809701 0.731572 0.180983 0.0849395 0.544452 15
0 0.114319 0.608573 0.183744 0.479892 0.629268 16

0 0.758725 0.601297 0.320885 0.489276 0.711728 12
56 0.811758 0.885531 0.351194 0.228009 0.485592 11
56 0.497264 0.759207 0.146705 0.221292 0.423692 13
56 0.853629 0.737958 0.183612 0.0861844 0.41308 15

0 0.801041 0.571046 0.291787 0.435978 0.595909 12
56 0.828882 0.886576 0.342236 0.225913 0.506474 11
56 0.529234 0.750056 0.138595 0.201507 0.563147 13
56 0.893286 0.7408 0.189825 0.0890617 0.475151 15
0 0.168089 0.593788 0.170984 0.438954 0.591427 16

0 0.810742 0.644696 0.378516 0.577728 0.854162 12
56 0.838209 0.889283 0.323583 0.220482 0.61567 11
56 0.55252 0.801643 0.202274 0.299804 0.837785 13
56 0.911887 0.748814 0.176225 0.087342 0.483153 15
0 0.117488 0.514904 0.220971 0.97017 0.746926 20
0 0.191457 0.59323 0.172914 0.43439 0.84212 16

0 0.807073 0.667586 0.385855 0.62054 0.869469 12
56 0.840815 0.889172 0.31837 0.220668 0.592524 11
56 0.562223 0.815184 0.221188 0.33444 0.832108 13
0 0.119418 0.51136 0.222919 0.977275 0.764936 20
0 0.198461 0.591988 0.175135 0.429447 0.846963 16
63 0.274838 0.895047 0.204082 0.209689 0.854196 22

0 0.803953 0.673326 0.392094 0.643416 0.865124 12
56 0.840654 0.887463 0.318691 0.224064 0.582066 11
56 0.563937 0.813461 0.220567 0.337617 0.826525 13
